,ladcd,label,year,quarter,ONS LA Code
0,1,"(2012, 'Q1', 'N09000004')",2012,Q1,N09000004
1,1,"(2012, 'Q2', 'E06000021')",2012,Q2,E06000021
2,1,"(2012, 'Q2', 'E06000023')",2012,Q2,E06000023
3,1,"(2012, 'Q2', 'E06000028')",2012,Q2,E06000028
4,1,"(2012, 'Q2', 'E06000031')",2012,Q2,E06000031
5,1,"(2012, 'Q2', 'E06000037')",2012,Q2,E06000037
6,1,"(2012, 'Q2', 'E06000038')",2012,Q2,E06000038
7,1,"(2012, 'Q2', 'E06000045')",2012,Q2,E06000045
8,1,"(2012, 'Q2', 'E06000047')",2012,Q2,E06000047
9,1,"(2012, 'Q2', 'E06000050')",2012,Q2,E06000050
10,1,"(2012, 'Q2', 'E06000057')",2012,Q2,E06000057
11,1,"(2012, 'Q2', 'E07000041')",2012,Q2,E07000041
12,1,"(2012, 'Q2', 'E07000072')",2012,Q2,E07000072
13,1,"(2012, 'Q2', 'E07000082')",2012,Q2,E07000082
14,1,"(2012, 'Q2', 'E07000092')",2012,Q2,E07000092
15,1,"(2012, 'Q2', 'E07000095')",2012,Q2,E07000095
16,2,"(2012, 'Q2', 'E07000102')",2012,Q2,E07000102
17,1,"(2012, 'Q2', 'E07000116')",2012,Q2,E07000116
18,1,"(2012, 'Q2', 'E07000122')",2012,Q2,E07000122
19,1,"(2012, 'Q2', 'E07000126')",2012,Q2,E07000126
20,1,"(2012, 'Q2', 'E07000164')",2012,Q2,E07000164
21,1,"(2012, 'Q2', 'E07000177')",2012,Q2,E07000177
22,1,"(2012, 'Q2', 'E07000189')",2012,Q2,E07000189
23,2,"(2012, 'Q2', 'E07000222')",2012,Q2,E07000222
24,2,"(2012, 'Q2', 'E07000226')",2012,Q2,E07000226
25,1,"(2012, 'Q2', 'E07000229')",2012,Q2,E07000229
26,2,"(2012, 'Q2', 'E07000241')",2012,Q2,E07000241
27,1,"(2012, 'Q2', 'E08000001')",2012,Q2,E08000001
28,1,"(2012, 'Q2', 'E08000007')",2012,Q2,E08000007
29,1,"(2012, 'Q2', 'E08000019')",2012,Q2,E08000019
30,1,"(2012, 'Q2', 'E08000021')",2012,Q2,E08000021
31,1,"(2012, 'Q2', 'E08000033')",2012,Q2,E08000033
32,1,"(2012, 'Q2', 'E09000002')",2012,Q2,E09000002
33,1,"(2012, 'Q2', 'E09000003')",2012,Q2,E09000003
34,1,"(2012, 'Q2', 'E09000006')",2012,Q2,E09000006
35,7,"(2012, 'Q2', 'E09000011')",2012,Q2,E09000011
36,1,"(2012, 'Q2', 'E09000016')",2012,Q2,E09000016
37,1,"(2012, 'Q2', 'E09000020')",2012,Q2,E09000020
38,1,"(2012, 'Q2', 'E09000022')",2012,Q2,E09000022
39,3,"(2012, 'Q2', 'E09000033')",2012,Q2,E09000033
40,2,"(2012, 'Q2', 'N09000002')",2012,Q2,N09000002
41,2,"(2012, 'Q2', 'N09000003')",2012,Q2,N09000003
42,6,"(2012, 'Q2', 'N09000005')",2012,Q2,N09000005
43,8,"(2012, 'Q2', 'N09000006')",2012,Q2,N09000006
