,ONS LA Code,variable,value,year,quarter,PCP
0,K02000001,2020 Q3,373223.0,2020,Q3,0.0
1,K03000001,2020 Q3,368975.0,2020,Q3,0.0
2,E92000001,2020 Q3,333962.0,2020,Q3,0.0
3,E12000001,2020 Q3,5555.0,2020,Q3,0.0
4,E06000047,2020 Q3,1113.0,2020,Q3,0.0
5,E06000005,2020 Q3,305.0,2020,Q3,0.0
6,E06000001,2020 Q3,127.0,2020,Q3,0.0
7,E06000002,2020 Q3,125.0,2020,Q3,0.0
8,E06000057,2020 Q3,1108.0,2020,Q3,0.0
9,E06000003,2020 Q3,156.0,2020,Q3,0.0
10,E06000004,2020 Q3,337.0,2020,Q3,0.0
11,E11000007,2020 Q3,2277.0,2020,Q3,0.0
12,E08000037,2020 Q3,413.0,2020,Q3,0.0
13,E08000021,2020 Q3,648.0,2020,Q3,0.0
14,E08000022,2020 Q3,430.0,2020,Q3,0.0
15,E08000023,2020 Q3,319.0,2020,Q3,0.0
16,E08000024,2020 Q3,467.0,2020,Q3,0.0
17,E12000002,2020 Q3,44215.0,2020,Q3,0.0
18,E06000008,2020 Q3,263.0,2020,Q3,0.0
19,E06000009,2020 Q3,297.0,2020,Q3,0.0
20,E06000049,2020 Q3,2163.0,2020,Q3,0.0
21,E06000050,2020 Q3,1353.0,2020,Q3,0.0
22,E06000006,2020 Q3,312.0,2020,Q3,0.0
23,E06000007,2020 Q3,778.0,2020,Q3,0.0
24,E10000006,2020 Q3,1098.0,2020,Q3,0.0
25,E07000026,2020 Q3,146.0,2020,Q3,0.0
26,E07000027,2020 Q3,87.0,2020,Q3,0.0
27,E07000028,2020 Q3,202.0,2020,Q3,0.0
28,E07000029,2020 Q3,109.0,2020,Q3,0.0
29,E07000030,2020 Q3,148.0,2020,Q3,0.0
30,E07000031,2020 Q3,406.0,2020,Q3,0.0
31,E11000001,2020 Q3,32046.0,2020,Q3,0.0
32,E08000001,2020 Q3,631.0,2020,Q3,0.0
33,E08000002,2020 Q3,614.0,2020,Q3,0.0
34,E08000003,2020 Q3,882.0,2020,Q3,0.0
35,E08000004,2020 Q3,406.0,2020,Q3,0.0
36,E08000005,2020 Q3,470.0,2020,Q3,0.0
37,E08000006,2020 Q3,536.0,2020,Q3,0.0
38,E08000007,2020 Q3,26697.0,2020,Q3,0.0
39,E08000008,2020 Q3,355.0,2020,Q3,0.0
40,E08000009,2020 Q3,895.0,2020,Q3,0.0
41,E08000010,2020 Q3,560.0,2020,Q3,0.0
42,E10000017,2020 Q3,3329.0,2020,Q3,0.0
43,E07000117,2020 Q3,136.0,2020,Q3,0.0
44,E07000118,2020 Q3,385.0,2020,Q3,0.0
45,E07000119,2020 Q3,241.0,2020,Q3,0.0
46,E07000120,2020 Q3,114.0,2020,Q3,0.0
47,E07000121,2020 Q3,367.0,2020,Q3,0.0
48,E07000122,2020 Q3,160.0,2020,Q3,0.0
49,E07000123,2020 Q3,366.0,2020,Q3,0.0
50,E07000124,2020 Q3,259.0,2020,Q3,0.0
51,E07000125,2020 Q3,216.0,2020,Q3,0.0
52,E07000126,2020 Q3,395.0,2020,Q3,0.0
53,E07000127,2020 Q3,396.0,2020,Q3,0.0
54,E07000128,2020 Q3,292.0,2020,Q3,0.0
55,E08000011,2020 Q3,221.0,2020,Q3,0.0
56,E08000012,2020 Q3,660.0,2020,Q3,0.0
57,E08000014,2020 Q3,696.0,2020,Q3,0.0
58,E08000013,2020 Q3,309.0,2020,Q3,0.0
59,E08000015,2020 Q3,684.0,2020,Q3,0.0
60,E12000003,2020 Q3,25865.0,2020,Q3,0.0
61,E06000011,2020 Q3,924.0,2020,Q3,0.0
62,E06000010,2020 Q3,314.0,2020,Q3,0.0
63,E06000012,2020 Q3,277.0,2020,Q3,0.0
64,E06000013,2020 Q3,358.0,2020,Q3,0.0
65,E06000014,2020 Q3,770.0,2020,Q3,0.0
66,E10000023,2020 Q3,2287.0,2020,Q3,0.0
67,E07000163,2020 Q3,216.0,2020,Q3,0.0
68,E07000164,2020 Q3,309.0,2020,Q3,0.0
69,E07000165,2020 Q3,896.0,2020,Q3,0.0
70,E07000166,2020 Q3,144.0,2020,Q3,0.0
71,E07000167,2020 Q3,208.0,2020,Q3,0.0
72,E07000168,2020 Q3,187.0,2020,Q3,0.0
73,E07000169,2020 Q3,327.0,2020,Q3,0.0
74,E11000003,2020 Q3,5222.0,2020,Q3,0.0
75,E08000016,2020 Q3,531.0,2020,Q3,0.0
76,E08000017,2020 Q3,1906.0,2020,Q3,0.0
77,E08000018,2020 Q3,547.0,2020,Q3,0.0
78,E08000019,2020 Q3,2238.0,2020,Q3,0.0
79,E11000006,2020 Q3,15711.0,2020,Q3,0.0
80,E08000032,2020 Q3,1103.0,2020,Q3,0.0
81,E08000033,2020 Q3,551.0,2020,Q3,0.0
82,E08000034,2020 Q3,1058.0,2020,Q3,0.0
83,E08000035,2020 Q3,12171.0,2020,Q3,0.0
84,E08000036,2020 Q3,828.0,2020,Q3,0.0
85,E06000015,2020 Q3,1731.0,2020,Q3,0.0
86,E06000016,2020 Q3,839.0,2020,Q3,0.0
87,E06000018,2020 Q3,847.0,2020,Q3,0.0
88,E06000017,2020 Q3,216.0,2020,Q3,0.0
89,E10000007,2020 Q3,3323.0,2020,Q3,0.0
90,E07000032,2020 Q3,468.0,2020,Q3,0.0
91,E07000033,2020 Q3,173.0,2020,Q3,0.0
92,E07000034,2020 Q3,892.0,2020,Q3,0.0
93,E07000035,2020 Q3,378.0,2020,Q3,0.0
94,E07000036,2020 Q3,406.0,2020,Q3,0.0
95,E07000037,2020 Q3,295.0,2020,Q3,0.0
96,E07000038,2020 Q3,372.0,2020,Q3,0.0
97,E07000039,2020 Q3,339.0,2020,Q3,0.0
98,E10000018,2020 Q3,2732.0,2020,Q3,0.0
99,E07000129,2020 Q3,489.0,2020,Q3,0.0
100,E07000130,2020 Q3,641.0,2020,Q3,0.0
101,E07000131,2020 Q3,481.0,2020,Q3,0.0
102,E07000132,2020 Q3,384.0,2020,Q3,0.0
103,E07000133,2020 Q3,177.0,2020,Q3,0.0
104,E07000134,2020 Q3,394.0,2020,Q3,0.0
105,E07000135,2020 Q3,161.0,2020,Q3,0.0
106,E07000136,2020 Q3,150.0,2020,Q3,0.0
107,E07000138,2020 Q3,177.0,2020,Q3,0.0
108,E07000139,2020 Q3,401.0,2020,Q3,0.0
109,E07000140,2020 Q3,232.0,2020,Q3,0.0
110,E07000141,2020 Q3,436.0,2020,Q3,0.0
111,E07000142,2020 Q3,316.0,2020,Q3,0.0
112,E07000150,2020 Q3,190.0,2020,Q3,0.0
113,E07000152,2020 Q3,331.0,2020,Q3,0.0
114,E07000153,2020 Q3,1141.0,2020,Q3,0.0
115,E07000155,2020 Q3,1120.0,2020,Q3,0.0
116,E07000156,2020 Q3,234.0,2020,Q3,0.0
117,E10000024,2020 Q3,2550.0,2020,Q3,0.0
118,E07000170,2020 Q3,248.0,2020,Q3,0.0
119,E07000171,2020 Q3,301.0,2020,Q3,0.0
120,E07000172,2020 Q3,348.0,2020,Q3,0.0
121,E07000173,2020 Q3,399.0,2020,Q3,0.0
122,E07000174,2020 Q3,204.0,2020,Q3,0.0
123,E07000175,2020 Q3,438.0,2020,Q3,0.0
124,E07000176,2020 Q3,611.0,2020,Q3,0.0
125,E06000051,2020 Q3,1321.0,2020,Q3,0.0
126,E10000028,2020 Q3,2876.0,2020,Q3,0.0
127,E07000192,2020 Q3,359.0,2020,Q3,0.0
128,E07000195,2020 Q3,318.0,2020,Q3,0.0
129,E07000196,2020 Q3,360.0,2020,Q3,0.0
130,E07000197,2020 Q3,499.0,2020,Q3,0.0
131,E07000218,2020 Q3,231.0,2020,Q3,0.0
132,E07000219,2020 Q3,265.0,2020,Q3,0.0
133,E07000221,2020 Q3,1073.0,2020,Q3,0.0
134,E07000222,2020 Q3,1566.0,2020,Q3,0.0
135,E11000005,2020 Q3,12501.0,2020,Q3,0.0
136,E08000026,2020 Q3,746.0,2020,Q3,0.0
137,E08000027,2020 Q3,711.0,2020,Q3,0.0
138,E08000028,2020 Q3,623.0,2020,Q3,0.0
139,E08000029,2020 Q3,6522.0,2020,Q3,0.0
140,E08000031,2020 Q3,457.0,2020,Q3,0.0
141,E10000034,2020 Q3,2851.0,2020,Q3,0.0
142,E07000234,2020 Q3,631.0,2020,Q3,0.0
143,E07000235,2020 Q3,416.0,2020,Q3,0.0
144,E07000236,2020 Q3,215.0,2020,Q3,0.0
145,E07000238,2020 Q3,735.0,2020,Q3,0.0
146,E07000239,2020 Q3,258.0,2020,Q3,0.0
147,E06000055,2020 Q3,837.0,2020,Q3,0.0
148,E06000032,2020 Q3,508.0,2020,Q3,0.0
149,E06000031,2020 Q3,13729.0,2020,Q3,0.0
150,E06000033,2020 Q3,414.0,2020,Q3,0.0
151,E10000003,2020 Q3,3700.0,2020,Q3,0.0
152,E07000008,2020 Q3,631.0,2020,Q3,0.0
153,E07000009,2020 Q3,439.0,2020,Q3,0.0
154,E07000010,2020 Q3,211.0,2020,Q3,0.0
155,E07000012,2020 Q3,1254.0,2020,Q3,0.0
156,E10000012,2020 Q3,5897.0,2020,Q3,0.0
